,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4
0,Fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic_patches
1,Fungal infection, skin_rash, nodal_skin_eruptions, dischromic_patches,
2,Fungal infection,itching, nodal_skin_eruptions, dischromic_patches,
3,Fungal infection,itching, skin_rash, dischromic_patches,
4,Fungal infection,itching, skin_rash, nodal_skin_eruptions,
5,Fungal infection, skin_rash, nodal_skin_eruptions, dischromic_patches,
6,Fungal infection,itching, nodal_skin_eruptions, dischromic_patches,
7,Fungal infection,itching, skin_rash, dischromic_patches,
8,Fungal infection,itching, skin_rash, nodal_skin_eruptions,
9,Fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic_patches
10,Allergy, continuous_sneezing, shivering, chills, watering_from_eyes
11,Allergy, shivering, chills, watering_from_eyes,
13,Allergy, continuous_sneezing, shivering, watering_from_eyes,
14,Allergy, continuous_sneezing, shivering, chills,
15,Allergy, shivering, chills, watering_from_eyes,
16,Allergy, continuous_sneezing, chills, watering_from_eyes,
17,Allergy, continuous_sneezing, shivering, watering_from_eyes,
18,Allergy, continuous_sneezing, shivering, chills,
19,Allergy, continuous_sneezing, shivering, chills, watering_from_eyes
20,GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting
21,GERD, stomach_pain, ulcers_on_tongue, vomiting, cough
22,GERD, stomach_pain, acidity, vomiting, cough
23,GERD, stomach_pain, acidity, ulcers_on_tongue, cough
24,GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting
25,GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting
26,GERD, acidity, ulcers_on_tongue, vomiting, cough
27,GERD, stomach_pain, ulcers_on_tongue, vomiting, cough
28,GERD, stomach_pain, acidity, vomiting, cough
29,GERD, stomach_pain, acidity, ulcers_on_tongue, cough
30,Chronic cholestasis,itching, vomiting, yellowish_skin, nausea
31,Chronic cholestasis, vomiting, yellowish_skin, nausea, loss_of_appetite
32,Chronic cholestasis,itching, yellowish_skin, nausea, loss_of_appetite
33,Chronic cholestasis,itching, vomiting, nausea, loss_of_appetite
